Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP, Gender
1,up,Olivia Rodrigo,drivers license,1,1,4,1,2021-01-17,1,2021-01-17,1
2,up,The Kid LAROI,WITHOUT YOU,2,2,8,32,2020-12-13,12,2021-02-28,2
3,up,Taylor Swift,willow,3,2,8,73,2020-12-13,2,2020-12-20,1
4,up,Justin Bieber,Anyone,4,1,5,5,2021-01-10,5,2021-01-10,2
5,up,Scarlet Pleasure,What a Life,6,4,19,,,,,2
6,up,SZA,Good Days,7,6,4,39,2021-01-03,8,2021-01-10,1
7,down,The Weeknd,Blinding Lights,5,1,62,94,2019-12-01,1,2020-03-01,2
8,up,NODE & Larry 44,Lad Det Gå,65,8,2,,,,,2
9,up,Miley Cyrus,Track Four,10,8,11,13,2020-11-29,13,2020-11-29,1
10,up,Lord Siva,Solhverv,11,2,32,,,,,2
11,down,Ariana Grande,positions,9,1,15,77,2020-10-25,1,2020-11-01,1
12,down,Kesi,Blå Himmel (feat. Hans Philip),8,1,27,,,,,2
13,down,Tiësto,The Business,12,10,8,52,2021-01-03,18,2021-04-04,2
14,up,RH,MCQUEEN (feat. Branco),68,7,2,,,,,2
15,up,James Arthur,Train Wreck,15,15,12,,,,,2
16,down,Tate McRae,you broke me first,13,13,24,81,2020-08-23,15,2020-11-15,1
17,up,HVME,Goosebumps,20,17,4,85,2021-01-10,69,2021-01-17,2
18,down,Joel Corry,Head & Heart (feat. MNEK),14,4,28,99,2020-07-26,16,2020-09-20,2
19,up,Billie Eilish & ROSALÍA,Lo Vas A Olvidar,67,18,2,17,2021-01-31,17,2021-01-31,1
20,down,Tessa & Orgi-E,Blæstegnen,19,10,10,,,,,3
21,down,Shawn Mendes,Monster,16,3,11,92,2020-11-22,4,2020-11-29,2
22,down,Ed Sheeran,Afterglow,17,4,6,18,2021-01-03,18,2021-01-03,2
23,down,Billie Eilish,Therefore I Am,21,2,12,97,2020-11-15,4,2020-11-22,1
24,down,CJ, Whoopty,23,22,13,51,2020-11-22,8,2021-01-24,2
25,down,Natasja & Tessa & Karen Mukupa,Til Banken,24,2,23,,,,,1
26,down,24kGoldn,Mood (feat. iann dior),22,1,24,33,2020-08-23,1,2020-10-11,2
27,down,Branco,Bando Bitch,18,3,5,,,,,2
28,up,Christopher,Good To Goodbye (feat. Clara Mae),28,22,4,,,,,3
29,down,Gilli,Kopenhagen (feat. ICEKIID & Noah Carter),27,18,10,,,,,2
30,down,BTS,Dynamite,25,16,22,96,2020-08-23,2,2020-08-30,2
31,down,The Weeknd,Save Your Tears,29,1,10,80,2020-03-22,1,2021-03-21,2
