Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Lamin,H V D O L,1,1,3,,,,,2
2,up,Lamin & Ukendt Kunstner,Tro På Det,43,2,2,,,,,2
3,up,Lady Gaga & Bruno Mars,Die With A Smile,3,2,7,,,,,3
4,up,Billie Eilish,BIRDS OF A FEATHER,4,1,20,,,,,1
5,down,Suspekt,Tænker Ik På Andre (feat. Uro),2,2,5,,,,,2
6,up,Lamin & Benny Jamz,SkyLL,49,6,2,,,,,2
7,down,Benny Jamz & Gilli,Reposado,5,3,15,,,,,2
8,down,Sabrina Carpenter,Espresso,7,2,24,,,,,1
9,down,Sabrina Carpenter,Taste,8,3,6,,,,,1
10,up,Lamin,Travlt Bror Du Kender,64,10,2,,,,,2
11,down,Tobias Rahim,Dark Room (feat. ICEKIID),9,1,19,,,,,2
12,up,Lamin,PhD (feat. Tobias Rahim),71,12,2,,,,,2
13,down,Kesi & Lamin,To Gange,10,2,8,,,,,2
14,up,Lamin,Enzym,75,14,2,,,,,2
15,down,Medina & Tessa,Rick Ross Pt. 2,6,6,3,,,,,1
16,up,Lamin,2er Ved Søerne,69,16,2,,,,,2
17,down,Sabrina Carpenter,Please Please Please,12,5,17,,,,,1
18,down,Lamin & Gilli,Hva Du På,11,1,18,,,,,2
19,down,Shaboozey,A Bar Song (Tipsy),14,8,23,,,,,2
20,down,Billie Eilish,WILDFLOWER,18,4,20,,,,,1
21,down,Annika,Så længe jeg er sexy.,13,11,9,,,,,1
22,down,Tobias Rahim,Bellevue (feat. D1MA),15,1,32,,,,,2
23,down,Teddy Swims,Lose Control,19,4,38,,,,,2
24,down,The Weeknd,Dancing In The Flames,22,22,3,,,,,2
25,down,Chappell Roan,Good Luck Babe!,17,17,13,,,,,1
26,up,Lamin,AtGøreEtBarnTilEnVinder,87,26,2,,,,,2
27,up,Lamin,Græsset Grønnere,76,27,2,,,,,2
28,down,Benny Jamz & Gilli,Booty Up,16,11,15,,,,,2
29,down,Ankerstjerne & Daniel Schulz & Panamah,Børn Af Natten (Hola Bonita),20,9,21,,,,,3
30,down,Post Malone,I Had Some Help (feat. Morgan Wallen),28,7,21,,,,,2
31,down,Benson Boone,Beautiful Things,29,3,36,,,,,2
32,down,Blæst,Elsker Dig Så Meget,23,21,17,,,,,3
33,down,Tate McRae,It's ok I'm ok,26,26,3,,,,,1
34,down,Gobs & ICEKIID,4 LIFE,21,12,4,,,,,2
35,down,Gilli & Kesi,555,27,1,48,,,,,2
36,down,Rune Rask & TooManyLeftHands,København (feat. Suspekt & Benjamin Hav),31,5,18,,,,,2
37,up,Lamin,W,83,37,2,,,,,2
38,down,Hozier,Too Sweet,33,7,26,,,,,2
39,down,Kundo & MAS,Signaler,32,16,5,,,,,2
40,down,Tobias Rahim,STOR MAND (feat. andreas odbjerg),36,1,162,,,,,2
41,up,Lamin,Bid Af Bølgen,86,41,2,,,,,2
42,down,Billie Eilish,LUNCH,39,1,20,,,,,1
43,down,Kesi,Blå Himmel (feat. Hans Philip),35,1,165,,,,,2
44,down,Tobias Rahim,Jylland,25,15,5,,,,,2
45,down,Teddy Swims,Bad Dreams,34,34,3,,,,,2
46,down,Kesi & Lamin & Benny Jamz & MAS & Kundo & Kimbo,Brutalt,30,4,8,,,,,2
47,down,Kendrick Lamar,Not Like Us,37,1,21,,,,,2
48,down,LINKIN PARK,The Emptiness Machine,40,24,4,,,,,3
49,down,Hans Philip,Du og jeg,24,10,4,,,,,2
50,down,Thor Farlov,Hej,38,2,10,,,,,2
51,up,Bon Iver,S P E Y S I D E,97,51,2,,,,,2
52,down,Charli xcx & Billie Eilish,Guess featuring Billie Eilish,42,5,9,,,,,1
53,down,Adele,Someone Like You,45,35,24,,,,,1
54,down,Taylor Swift,Cruel Summer,48,6,66,,,,,1
55,down,Myles Smith,Stargazing,50,37,19,,,,,2
56,up,Billie Eilish,CHIHIRO,58,2,20,,,,,1
57,down,Thor Farlov,Alt Det (feat. Noah Carter),44,1,35,,,,,2
58,down,Lamin,Gode Dage Gode Drinks,41,9,106,,,,,2
59,up,Lamin,Først & Fremmest,88,59,2,,,,,2
60,down,Kesi & Gilli,E.T.A,54,9,8,,,,,2
61,down,Kesi,Kom Over,60,30,70,,,,,2
62,down,Thor Farlov & Kundo,Noget Si'r Mig,46,8,18,,,,,2
63,up,Sabrina Carpenter,Bed Chem,63,36,6,,,,,1
64,down,Taylor Swift,Fortnight (feat. Post Malone),56,1,24,,,,,3
65,-,The Weeknd & Playboi Carti,Timeless,-,5,1,,,,,2
66,down,Ukendt Kunstner,Uden Dig,62,1,73,,,,,2
67,down,D1MA,I KNOW,59,1,66,,,,,2
68,down,Uro,Føles Godt (feat. Mekdes),47,13,55,,,,,3
69,down,Gobs,Alt Ved Dig,51,2,21,,,,,2
70,down,Benjamin Hav,Første Dag (feat. Ella Augusta),53,6,37,,,,,3
71,down,Gobs,Tak For Sidst,67,2,69,,,,,2
72,up,OMAR & Tobias Rahim,911,73,35,14,,,,,2
73,down,Annika,Knuser Hjerter,57,16,27,,,,,1
74,-,D1MA,CLEOPATRA,-,13,1,,,,,2
75,down,Dasha,Austin,66,54,22,,,,,1
76,up,The Weeknd,Blinding Lights,82,1,239,94,2019-12-01,1,2020-03-01,2
77,down,Mumle,Det Modsatte,55,21,38,,,,,1
78,-,MAS,Ik Tænk,-,32,1,,,,,2
79,-,Jens Kleist,Sapiittoq (feat. Ole Kristiansen & Frederik Elsner & Arnarissoq Bech Vetterlain),-,61,1,,,,,2
80,-,LINKIN PARK,Heavy Is the Crown,-,66,1,,,,,3
81,up,Ed Sheeran,Perfect,85,23,124,73,2019-10-06,58,2019-10-20,2
82,down,Tobias Rahim,Flyvende Faduma,68,1,109,,,,,2
83,-,Pil,Når Jeg Vågner II,-,83,1,,,,,1
84,down,Eminem,Houdini,72,1,18,,,,,2
85,-,Jens Kleist,Storm (feat. Uummannarmiuaqqat),-,83,1,,,,,3
86,down,Anton Westerlin & Lamin,Chanel Freestyle,70,2,23,,,,,2
87,-,Jens Kleist,Nunarsuarmi Allami (feat. Arnarissoq Bech Vetterlain),-,82,1,,,,,3
88,-,Jens Kleist,Aqqutiga,-,85,1,,,,,2
89,-,Jens Kleist,Wednesday (feat. Nuka Enoksen),-,89,1,,,,,2
90,down,Ariana Grande,One Last Time,80,80,3,,,,,1
91,down,Benny Jamz & Gilli,Chicagenhagen,61,31,15,,,,,2
92,-,Jens Kleist,KAAR! (Remix),-,92,1,,,,,2
93,-,Jens Kleist,Toxic Crown,-,93,1,,,,,2
94,-,Jens Kleist,Nukissuit (feat. Arnarissoq Bech Vetterlain),-,94,1,,,,,3
95,down,Lamin,Som Forleden,52,7,66,,,,,2
96,down,*NSYNC,Bye Bye Bye,78,40,8,,,,,2
