Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Tobias Rahim,STOR MAND (feat. andreas odbjerg),1,1,25,,,,,2
2,up,The Minds Of 99,Under Din Sne,2,2,13,,,,,2
3,up,Gilli,Kender Ik' I Morgen,3,3,3,,,,,2
4,up,Adele,Easy On Me,7,1,16,,,,,1
5,up,Dean Lewis,Half a Man,14,2,3,,,,,2
6,down,Ed Sheeran,Shivers,4,1,21,,,,,2
7,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),8,4,24,,,,,3
8,down,The Kid LAROI & Justin Bieber,Stay,6,1,30,,,,,2
9,down,Gilli,Peligrosa,5,5,3,,,,,2
10,up,Lauren Spencer-Smith,Fingers Crossed,13,10,4,,,,,1
11,up,The Weeknd,Sacrifice,11,3,4,,,,,2
12,up,Ed Sheeran,Bad Habits,12,1,32,,,,,2
13,up,Lost Frequencies & Calum Scott,Where Are You Now,17,7,14,,,,,2
14,up,Gayle,abcdefu,16,8,10,,,,,1
15,down,The Weeknd,Take My Breath,10,5,25,,,,,2
16,up,Glass Animals,Heat Waves,20,7,22,75,2021-02-28,71,2021-03-07,2
17,down,Gilli,Baianá,9,9,3,,,,,2
18,up,Jimilian,Har Det Fucking Godt,24,18,3,,,,,2
19,up,Benny Jamz & Gilli & Kesi,Ibiza (feat. B.O.C),23,1,33,,,,,2
20,up,Doja Cat,Woman,25,6,26,,,,,1
21,down,Gilli,Miami Vicer,15,15,3,,,,,2
22,down,The Minds Of 99,Krop Som En Sten,21,8,4,,,,,2
23,up,Adele,Oh My God,26,4,11,,,,,1
24,up,Benson Boone,GHOST TOWN,27,9,15,,,,,2
25,down,Gilli,1 Sammen,19,19,3,,,,,2
26,up,The Weeknd,Blinding Lights,35,1,113,94,2019-12-01,1,2020-03-01,2
27,up,andreas odbjerg,blev du fanget af noget?,83,17,2,,,,,2
28,down,Gilli,No Pasa Nada,18,18,3,,,,,2
29,up,Coldplay X BTS,My Universe,31,11,14,,,,,2
30,down,Swedish House Mafia & The Weeknd,Moth To A Flame,29,8,15,,,,,2
31,down,Gilli,Avantgarde,22,22,3,,,,,2
32,up,Tiësto & Ava Max,The Motto,38,13,4,,,,,3
33,down,Phlake,Vendetta,32,12,14,,,,,2
34,up,Carolina Gaitan & Mauro Castillo & Adassa & Rhenzy Feliz & Diane Guerrero & Stephanie Beatriz & Encanto - Cast,We Don't Talk About Bruno,42,18,4,,,,,3
35,up,Shawn Mendes,It'll Be Okay,47,24,5,,,,,2
36,up,Charlie Puth,Light Switch,85,27,2,,,,,2
37,up,Olivia Rodrigo,good 4 u,41,1,37,,,,,1
38,up,Frank Ocean,Lost,57,12,2,,,,,2
39,down,Lil Nas X & Jack Harlow,INDUSTRY BABY,33,4,28,,,,,2
40,up,MØ,Brad Pitt,51,19,6,,,,,1
41,up,Lord Siva,SOS,86,40,2,,,,,2
42,up,andreas odbjerg,i morgen er der også en dag,43,7,44,,,,,2
43,down,Post Malone & The Weeknd,One Right Now,37,12,13,,,,,2
44,up,Ed Sheeran,Overpass Graffiti,46,9,13,,,,,2
45,up,Billie Eilish,Happier Than Ever,53,3,26,,,,,1
46,down,Gilli,Brazil (feat. Prinsess Jorge),28,28,3,,,,,3
47,up,Sivas & Lord Siva,Push it to the limit,55,11,19,,,,,2
48,up,Imagine Dragons & JID & League of Legends,Enemy,87,27,2,,,,,2
49,up,Dj Yo!,Love Nwantiti (feat. Ckay & AX'EL) [Remix],56,17,18,,,,,2
50,down,George Ezra,Budapest,40,21,4,,,,,2
51,up,NEIKED & Mae Muller & Polo G,Better Days,58,18,12,,,,,3
52,down,Gilli,Bariostar,30,30,3,,,,,2
53,down,Gilli,Urørlig,34,34,3,,,,,2
54,up,The Minds Of 99,Som Fluer,54,5,23,,,,,2
55,down,The Minds Of 99,Emil,49,24,4,,,,,2
56,up,The Minds Of 99,Alle Skuffer Over Tid,72,13,51,,,,,2
57,up,SZA,I Hate U,59,17,8,,,,,1
58,up,P!nk & Willow Sage Hart,Cover Me In Sunshine,67,26,20,96,2021-04-11,41,2021-05-16,1
59,up,Bruno Mars & Anderson Paak & Silk Sonic,Smokin Out The Window,65,9,12,,,,,2
60,down,The Weeknd,Out of Time,44,18,4,,,,,2
61,down,The Minds Of 99,Vi Vokser,52,16,4,,,,,2
