Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP, Gender
1,up,The Weeknd,Blinding Lights,1,1,27,94,2019-12-01,1,2020-03-01,2
2,up,DaBaby,ROCKSTAR (feat. Roddy Ricch),3,2,7,79,2020-04-19,1,2020-07-05,2
3,up,Lady Gaga & Ariana Grande,Rain On Me,64,3,2,75,2020-05-24,1,2020-05-31,1
4,down,Kesi,Tilbage (feat. Hennedub),2,2,3,,,,,2
5,up,Jada,Nudes,14,5,11,,,,,1
6,up,Jung,Blitz Baby,67,6,9,,,,,2
7,up,LOLO,KIKI (feat. Gilli),7,7,3,,,,,2
8,up,NODE & Larry 44,Avatar,73,4,2,,,,,2
9,down,TopGunn & Branco,SPORT (feat. Branco),6,2,6,,,,,2
10,down,P3, Tættere End Vi Tror (feat. Tessa Lukas Graham Mads Langer Jada, Benjamin Hav Clara & Don Stefano),5,4,5,,,,,3
11,up,Tessa,Glo På Mig,11,8,3,,,,,1
12,down,SAINt JHN,Roses (Imanbek Remix),10,3,28,97,2020-01-12,7,2020-05-10,2
13,down,Ariana Grande & Justin Bieber,Stuck with U,4,3,4,95,2020-05-10,3,2020-05-17,3
14,down,Drake,Toosie Slide,8,2,9,65,2020-04-05,2,2020-04-26,2
15,down,Citybois,Sol Over København (feat. Kesi),9,6,5,,,,,2
16,up,Jung,Jeg Skal Nok Vente,76,16,7,,,,,2
17,up,Christopher,Leap Of Faith,77,13,2,,,,,2
18,down,Tones and I,Dance Monkey,15,1,30,6,2019-10-06,1,2019-11-10,1
19,down,Dua Lipa,Don't Start Now,16,2,30,19,2019-11-03,3,2020-01-05,1
20,down,S1mba,Rover (feat. DTG),19,11,4,88,2020-06-14,88,2020-06-14,2
21,down,The Weeknd,In Your Eyes,17,2,11,41,2020-03-22,12,2020-03-29,2
22,down,6ix9ine,GOOBA,12,9,4,100,2020-05-10,2,2020-05-17,2
23,down,Dua Lipa,Break My Heart,13,10,10,97,2020-03-29,5,2020-06-28,1
24,down,Harry Styles,Adore You,21,12,26,24,2019-12-08,6,2020-04-19,2
25,down,THE SCOTTS Travis Scott & Kid Cudi,THE SCOTTS,18,4,6,65,2020-04-26,1,2020-05-03,2
26,up,Christopher,Ghost,38,24,18,,,,,2
27,up,Jung,Hun Kommer Tilbage,81,27,5,,,,,2
28,down,Branco & Gilli,La Danza,22,2,17,,,,,2
29,down,Calby,Burnout,28,25,18,,,,,2
30,down,surf mesa,Ily,25,24,5,63,2020-04-19,18,2020-07-12,2
31,up,Clara,Nobody's Lover (feat. Lord Siva),32,31,6,,,,,3
32,up,Lewis Capaldi,Before You Go,35,13,22,45,2019-11-24,10,2020-08-30,2
33,down,Lukas Graham,Love Songs,27,24,4,,,,,2
34,down,Doja Cat,Say So,30,4,14,100,2020-02-02,6,2020-05-03,1
35,down,Benny Jamz,Gelato,23,17,4,,,,,2
36,down,Phlake & Mercedes the Virus,Sleepwalker (feat. Awinbeh),20,20,3,,,,,2
37,down,Powfu,Death Bed (feat. beabadoobee),24,12,13,100,2020-03-01,7,2020-04-26,3
38,up,Billie Eilish,everything i wanted,46,2,29,53,2019-11-17,3,2019-11-24,1
39,down,Justin Bieber,Intentions (feat. Quavo),26,3,17,35,2020-02-09,4,2020-04-05,2
40,up,Billie Eilish,bad guy,42,3,30,5,2019-10-06,5,2019-10-06,1
41,up,Tessa,Ben,49,13,28,,,,,1
42,down,MOODY,Not On My Mind,40,40,5,,,,,2
43,down,Tessa,Så'n der,39,7,12,,,,,1
44,down,Nea,Some Say,34,17,13,84,2020-03-01,84,2020-03-01,1
45,up,Jack Harlow,Whats Poppin,52,45,8,76,2020-03-22,37,2020-04-19,2
46,down,Citybois,Ringer I Morgen,29,20,4,,,,,2
47,down,Lady Gaga & Bradley Cooper,Shallow,44,14,30,25,2019-10-06,25,2019-10-06,3
48,up,Suspekt,Vil Du Med… (feat. Tessa),51,3,16,,,,,3
49,down,RH,Klovne,37,17,15,,,,,2
50,down,BENEE,Supalonely (feat. Gus Dapperton),36,13,12,94,2020-03-15,35,2020-04-26,3
51,down,Roddy Ricch,The Box,43,4,22,91,2019-12-08,2,2020-02-16,2
52,down,StaySolidRocky,Party Girl,45,34,4,86,2020-05-10,14,2020-06-14,2
53,up,Harry Styles,Watermelon Sugar,83,4,14,85,2019-11-17,2,2020-08-23,2
54,down,Josef Og Elias,Min Bror (feat. ICEKIID),33,10,8,,,,,2
55,up,Maroon 5,Memories,60,11,30,36,2019-10-06,2,2019-11-17,2
56,down,Citybois,Kærlighed Gør Blind,31,31,3,,,,,2
57,up,Regard,Ride It,70,11,30,57,2019-10-06,13,2019-11-10,2
58,down,Post Malone,Circles,56,7,30,2,2019-10-06,2,2019-10-06,2
