Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Billie Eilish,LUNCH,1,1,3,,,,,1
2,up,Malte Ebert & Herrelandsholdet,Kongen Af Danmark,19,1,2,,,,,2
3,down,Billie Eilish,CHIHIRO,2,2,3,,,,,1
4,down,Billie Eilish,BIRDS OF A FEATHER,3,1,3,,,,,1
5,up,Sabrina Carpenter,Espresso,11,2,7,,,,,1
6,down,Billie Eilish,WILDFLOWER,5,4,3,,,,,1
7,up,Gobs,Alt Ved Dig,8,2,4,,,,,2
8,up,Tobias Rahim,Bellevue (feat. D1MA),9,1,15,,,,,2
9,up,Kendrick Lamar,Not Like Us,12,1,4,,,,,2
10,down,Billie Eilish,L’AMOUR DE MA VIE,6,6,3,,,,,1
11,up,Tobias Rahim,Dark Room (feat. ICEKIID),75,1,2,,,,,2
12,up,Anton Westerlin & Lamin,Chanel Freestyle,15,2,6,,,,,2
13,up,Taylor Swift,Fortnight (feat. Post Malone),13,1,7,,,,,3
14,down,Billie Eilish,BLUE,10,10,3,,,,,1
15,down,Billie Eilish,SKINNY,4,4,3,,,,,1
16,up,Teddy Swims,Lose Control,18,4,21,,,,,2
17,down,Billie Eilish,THE GREATEST,7,7,3,,,,,1
18,up,Lamin,De Her Timer,25,15,3,,,,,2
19,up,Shaboozey,A Bar Song (Tipsy),33,8,6,,,,,2
20,up,Benson Boone,Beautiful Things,21,3,19,,,,,2
21,up,Hozier,Too Sweet,22,7,9,,,,,2
22,down,Gilli & Kesi,555,20,1,31,,,,,2
23,up,Ankerstjerne & Daniel Schulz & Panamah,Børn Af Natten (Hola Bonita),26,9,4,,,,,3
24,down,Post Malone,I Had Some Help (feat. Morgan Wallen),17,7,4,,,,,2
25,down,Beyoncé,TEXAS HOLD 'EM,23,1,16,,,,,1
26,up,Central Cee & Lil Baby,BAND4BAND,88,26,2,,,,,2
27,up,Branco,VERDEN RUNDT,80,27,2,,,,,2
28,down,Billie Eilish,THE DINER,14,14,3,,,,,1
29,up,Benjamin Hav,Første Dag (feat. Ella Augusta),30,6,20,,,,,3
30,down,Taylor Swift,Down Bad,24,3,7,,,,,1
31,down,Tommy Richman,Million Dollar Baby,28,21,5,,,,,2
32,down,Thor Farlov,Alt Det (feat. Noah Carter),29,1,18,,,,,2
33,down,Gobs,Tak For Sidst,32,2,52,,,,,2
34,up,Artemas,i like the way you kiss me,34,9,9,,,,,2
35,up,D1MA,I KNOW,35,1,49,,,,,2
36,down,Billie Eilish,BITTERSUITE,16,16,3,,,,,1
37,down,Taylor Swift,Cruel Summer,27,6,49,,,,,1
38,down,Kesi,Blå Himmel (feat. Hans Philip),31,1,148,,,,,2
39,down,Annika,Knuser Hjerter,36,16,10,,,,,1
40,up,Tate McRae,greedy,40,1,38,,,,,1
41,up,Uro,Føles Godt (feat. Mekdes),45,13,38,,,,,3
42,up,Dua Lipa,Training Season,44,14,16,,,,,1
43,up,Branco,DEN SIDSTE INTRO,87,43,2,,,,,2
44,down,Ariana Grande,we can't be friends (wait for your love),38,1,13,,,,,1
45,down,Mumle,Det Modsatte,42,21,21,,,,,1
46,down,Tobias Rahim,STOR MAND (feat. andreas odbjerg),43,1,145,,,,,2
47,down,Taylor Swift,I Can Do It With a Broken Heart,37,8,7,,,,,1
48,down,Lamin,Som Forleden,47,7,49,,,,,2
49,down,Thomas,Jeg Er En Gamer,46,3,15,,,,,2
50,down,Ukendt Kunstner,Uden Dig,49,1,56,,,,,2
51,up,Branco,GENNEM ÅRENE,89,51,2,,,,,2
52,up,Uro,Godthåbsvej,61,28,22,,,,,2
53,down,Ida Laurberg & andreas odbjerg,Jeg Ka' Rigtig Godt Li' Dig,52,1,53,,,,,3
54,down,Artigeardit & Lamin,Sent,48,3,20,,,,,2
55,down,ICEKIID,CARTIER LINSER,51,21,6,,,,,2
56,down,Baloosh,Danser Med Dæmoner (feat. OMAR),55,7,30,,,,,2
57,down,Miley Cyrus,Flowers,54,1,72,,,,,1
58,down,Taylor Swift,Who’s Afraid of Little Old Me?,39,9,7,,,,,1
59,up,The Weeknd,Blinding Lights,65,1,226,94,2019-12-01,1,2020-03-01,2
60,down,Gilli,Skarpt Lys,56,2,35,,,,,2
61,-,Lamin & Gilli,Hva Du På,-,1,1,,,,,2
62,up,Myles Smith,Stargazing,79,37,2,,,,,2
63,down,Kesi,Kom Over,50,30,53,,,,,2
64,down,Gobs,Ud Af Hovedet (feat. ICEKIID),57,26,18,,,,,2
65,down,Tobias Rahim,Flyvende Faduma,58,1,92,,,,,2
66,down,Taylor Swift,But Daddy I Love Him,41,5,7,,,,,1
67,up,Noah Kahan,Stick Season,68,21,19,,,,,2
68,up,Branco,GUNS & ROSES (feat. Headie One),94,68,2,,,,,2
69,down,Guldimund,Storebæltsbroen,60,6,9,,,,,2
70,-,Eminem,Houdini,-,1,1,,,,,2
71,up,Branco,AMBITION FREESTYLE,95,71,2,,,,,2
72,up,Dua Lipa,Illusion,78,57,3,,,,,1
73,up,Disturbed,The Sound of Silence (CYRIL Remix),76,60,7,,,,,2
74,up,Branco,LANGT FRA PARIS,100,74,2,,,,,2
75,down,Future & Metro Boomin,Like That,53,5,11,,,,,2
76,-,Thor Farlov & Kundo,Noget Si'r Mig,-,8,1,,,,,2
77,-,Rune Rask & TooManyLeftHands,København (feat. Suspekt & Benjamin Hav),-,5,1,,,,,2
78,down,Benny Jamz & Gilli & Kesi,Ibiza (feat. B.O.C),66,1,134,,,,,2
79,up,floyymenor & Cris Mj,Gata Only,93,67,4,,,,,2
80,down,Uro,Er Det For Sent,77,35,8,,,,,2
81,down,Taylor Swift,My Boy Only Breaks His Favorite Toys,64,4,7,,,,,1
82,down,Taylor Swift,The Tortured Poets Department,62,2,7,,,,,1
83,-,Branco,PUSH START,-,83,1,,,,,2
84,-,Lamin,Ahhh,-,84,1,,,,,2
85,down,Kendrick Lamar,euphoria,59,7,5,,,,,2
86,down,andreas odbjerg,benny,74,13,20,,,,,2
87,down,Dua Lipa,Illusion,70,19,8,,,,,1
88,-,Lamin,Øjne,-,88,1,,,,,2
89,down,Jaxomy & Agatino Romero & Raffaella Carrà,Pedro,82,59,5,,,,,3
90,down,Taylor Swift,So Long London,69,6,7,,,,,1
91,-,Branco,HIT THE ROAD,-,91,1,,,,,2
92,down,Branco & Gilli,London Town,86,4,41,,,,,2
93,-,Olivia Rodrigo,vampire,-,5,39,,,,,1
94,-,Blæst,Elsker Dig Så Meget,-,21,1,,,,,3
95,-,Lamin,.september,-,95,1,,,,,2
96,up,andreas odbjerg,hjem fra fabrikken,96,1,110,,,,,2
97,down,Lamin,Gode Dage Gode Drinks,63,9,91,,,,,2
98,down,Artigeardit & Kesi,Er Her,67,2,125,,,,,2
99,down,Ed Sheeran,Perfect,73,23,108,73,2019-10-06,58,2019-10-20,2
100,down,The Minds Of 99,Under Din Sne,85,2,128,,,,,2
