Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Kygo & Ava Max,Whatever,1,1,3,,,,,3
2,up,Ariana Grande,yes and?,2,1,4,,,,,1
3,up,DJ Momo,Badebussen (feat. Kjartan Lauritzen),4,1,32,,,,,2
4,down,Sophie Ellis-Bextor,Murder On the Dancefloor,3,3,5,,,,,1
5,up,Benson Boone,Beautiful Things,13,1,3,,,,,2
6,up,Ramon & Hver gang vi møtes,wow,6,3,5,,,,,3
7,up,Jack Harlow,Lovin On Me,12,3,11,,,,,2
8,down,Tate McRae,greedy,5,1,21,,,,,1
9,up,XXXTENTACION,BAD!,10,8,29,,,,,2
10,up,Justin Timberlake,Selfish,69,10,2,,,,,2
11,down,Matoma & Gabrielle & Hver gang vi møtes,Barn som deg,7,7,5,,,,,3
12,down,Dua Lipa,Houdini,9,6,13,,,,,1
13,up,Teddy Swims,Lose Control,15,4,4,,,,,2
14,down,XXXTENTACION,I don’t let go,11,6,29,,,,,2
15,-,Emelie Hollow & Hver gang vi møtes,Jeg vet du er borte,-,15,1,,,,,3
16,up,XXXTENTACION,Guardian angel,16,9,28,,,,,2
17,down,Highasakite & Hver gang vi møtes,ok jeg lover,8,8,3,,,,,3
18,up,XXXTENTACION,STARING AT THE SKY,19,11,27,,,,,2
19,up,Ramón & Hver gang vi møtes,aldri mer dans,85,19,2,,,,,3
20,up,The Weeknd,Track 6,39,20,3,,,,,2
21,down,Alan Walker & Putri Ariani & Peder Elias,Who I Am,18,7,5,,,,,3
22,up,The Weeknd,Blinding Lights,31,1,211,94,2019-12-01,1,2020-03-01,2
23,up,XXXTENTACION,whoa (mind in awe),25,21,27,,,,,2
24,down,Broiler & Beathoven,når du slår ut håret blir jeg slått ut,14,9,4,,,,,2
25,up,Emma Steinbakken & Hver gang vi møtes,Floden,30,1,58,,,,,3
26,up,Natasha Bedingfield,Unwritten,40,14,4,,,,,1
27,down,21 Savage,redrum,21,11,4,,,,,2
28,down,XXXTENTACION,difference (interlude),22,18,27,,,,,2
29,down,XXXTENTACION,Introduction,20,14,28,,,,,2
30,down,The Weeknd & Playboi Carti & Madonna,Popular,29,14,19,,,,,3
31,down,Chris Brown,Angel Numbers / Ten Toes,26,21,6,,,,,2
32,up,KEiiNO,Damdiggida,90,7,3,,,,,3
33,down,XXXTENTACION,what are you so afraid of,28,22,29,,,,,2
34,down,Taylor Swift,Cruel Summer,32,5,33,,,,,1
35,up,Coldplay,Viva La Vida,35,8,87,,,,,2
36,up,Olivia Rodrigo,vampire,37,1,32,,,,,1
37,down,Emelie Hollow & Hver gang vi møtes,Månemannen,27,5,4,,,,,3
38,up,YG Marley,Praise Jah In the Moonlight,88,4,2,,,,,2
39,down,Astrid S,Two Hands,33,25,4,,,,,1
40,up,Miley Cyrus,Flowers,41,1,55,,,,,1
41,down,Unknown,What Was I Made For?,38,1,28,,,,,1
42,up,cassö & RAYE & D-Block Europe,Prada,46,7,22,,,,,3
43,-,Matoma & Beathoven & Hver gang vi møtes,JEG FÅR VÆRE SOM JEG ER,-,43,1,,,,,3
44,down,Emelie Hollow & Hver gang vi møtes,Jeg elsker deg men,34,34,3,,,,,3
45,up,Kudos & Golfklubb,Haien Kommer (Sharkdog 2023),49,1,40,,,,,2
46,down,UNDERGRUNN,Michelin Stjerner,44,1,43,,,,,2
